State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Tamil Nadu",Dharmapuri,"AJattihalli(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2600,2300
"Tamil Nadu",Karur,"Velayuthampalayam(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2400,3000,2700
"Tamil Nadu",Salem,"Attayampatti(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Sivaganga,"Devakottai (Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2600,3000,2800
"Tamil Nadu",Thanjavur,"Pattukottai(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,3200,3200,3200
"Tamil Nadu",Virudhunagar,"Rajapalayam(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Chengalpattu,"Nanganallur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,3000,3500,3250
"Tamil Nadu","Nagercoil (Kannyiakumari)","Myladi(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,3000,3500,3250
"Tamil Nadu",Villupuram,"Tindivanam APMC",Tomato,Deshi,Local,10/09/2026,2000,2000,2000
"Tamil Nadu",Erode,"Thalavadi(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2200,2500,2350
"Tamil Nadu",Krishnagiri,"Krishnagiri(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,1600,2000,1800
"Tamil Nadu",Theni,"Andipatti(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2300,2500,2400
"Tamil Nadu",Virudhunagar,"Kariyapatti(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Madurai,"Thirumangalam(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2600,2300
"Tamil Nadu",Thirupathur,"Natrampalli(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Salem,"Athur(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Ramanathapuram,"Kamuthi(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Thiruvannamalai,"Tiruvannamalai(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Vellore,"Kahithapattarai(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2400,2400,2400
"Tamil Nadu",Ariyalur,"Ariyalur(Uzhavar Sandhai)",Tomato,Deshi,Local,10/09/2026,3000,3500,3250
"Tamil Nadu",Coimbatore,"Sundarapuram(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2500,2800,2650
"Tamil Nadu",Erode,"Sathiyamagalam(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2000,2600,2300
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2800,3200,3000
"Tamil Nadu",Cuddalore,"Cuddalore(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2800,2800,2800
